,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,profit,release_year,genres,director,roi_domestic,roi_foreign,roi_worldwide
152,2011-10-28,Puss in Boots 2011,130000000,149260504,554987477,405726973,424987477,2011,"Action,Adventure,Animation",Chris Miller,14.815772307692306,212.09767153846153,326.9134438461538
154,2014-04-11,Rio 2 2014,130000000,131538435,492846291,361307856,362846291,2014,"Adventure,Animation,Comedy",Carlos Saldanha,1.1834115384615385,177.92912,279.11253153846155
156,2014-03-28,Noah 2014,130000000,101200044,352831065,251631021,222831065,2014,"Action,Adventure,Drama",Darren Aronofsky,-22.15381230769231,93.56232384615384,171.40851153846154
157,2011-12-21,The Adventures of Tintin 2011,130000000,77591831,373993951,296402120,243993951,2011,"Action,Adventure,Animation",Steven Spielberg,-40.313976153846156,128.00163076923076,187.68765461538462
158,2013-05-31,After Earth 2013,130000000,60522097,251499665,190977568,121499665,2013,"Action,Adventure,Drama",M. Night Shyamalan,-53.44454076923076,46.90582153846154,93.46128076923077
159,2013-07-19,R.I.P.D. 2013,130000000,33618855,79076678,45457823,-50923322,2013,"Action,Adventure,Comedy",Robert Schwentke,-74.13934230769232,-65.03244384615384,-39.171786153846156
160,2019-02-22,How to Train Your Dragon: The Hidden World 2019,129000000,160791800,519258283,358466483,390258283,2019,"Action,Adventure,Animation",Dean DeBlois,24.644806201550388,177.88099457364342,302.52580077519383
161,2017-03-03,Logan 2017,127000000,226277068,615461394,389184326,488461394,2017,"Action,Drama,Sci-Fi",James Mangold,78.17091968503938,206.44435118110235,384.6152708661417
162,2014-12-19,Night at the Museum: Secret of the Tomb 2014,127000000,113746621,353756621,240010000,226756621,2014,"Adventure,Comedy,Family",Shawn Levy,-10.435731496062992,88.98425196850394,178.54852047244094
163,2014-11-21,The Hunger Games: Mockingjay - Part 1 2014,125000000,337135885,766575131,429439246,641575131,2014,"Action,Adventure,Sci-Fi",Francis Lawrence,169.708708,243.5513968,513.2601048
